"Name","DisplayName","State","StartMode"
"usbohci","Microsoft USB Open Host Controller Miniport Driver","Stopped","Manual"
"usbprint","Microsoft USB PRINTER Class","Stopped","Manual"
"usbser","Microsoft USB Serial Driver","Stopped","Manual"
"USBSTOR","USB Mass Storage Driver","Stopped","Manual"
"usbuhci","Microsoft USB Universal Host Controller Miniport Driver","Stopped","Manual"
"usbvideo","USB Video Device (WDM)","Stopped","Manual"
"USBXHCI","USB xHCI Compliant Host Controller","Running","Manual"
"vdrvroot","Microsoft Virtual Drive Enumerator","Running","Boot"
"VerifierExt","Driver Verifier Extension","Stopped","Manual"
"vhdmp","vhdmp","Stopped","Manual"
"vhf","Virtual HID Framework (VHF) Driver","Running","Manual"
"Vid","Vid","Running","System"
"VirtualRender","VirtualRender","Stopped","Manual"
"vmbus","Virtual Machine Bus","Stopped","Manual"
"VMBusHID","VMBusHID","Stopped","Manual"
"vmgid","Microsoft Hyper-V Guest Infrastructure Driver","Stopped","Manual"
"VMSNPXY","VmSwitch NIC Proxy Driver","Running","Boot"
"VMSP","VmSwitch Protocol Driver","Running","Auto"
"VmsProxy","VmSwitch Proxy Driver","Running","Boot"
"VMSVSF","VmSwitch Extensibility Filter","Stopped","Manual"
"VMSVSP","VmSwitch Extensibility Protocol","Stopped","Manual"
"volmgr","Volume Manager Driver","Running","Boot"
"volmgrx","Dynamic Volume Manager","Running","Boot"
"volsnap","Volume Shadow Copy driver","Running","Boot"
"volume","Volume driver","Running","Boot"
"vpci","Microsoft Hyper-V Virtual PCI Bus","Stopped","Manual"
"vsmraid","vsmraid","Stopped","Manual"
"VSTXRAID","VIA StorX Storage RAID Controller Windows Driver","Stopped","Manual"
"vwifibus","Virtual Wireless Bus Driver","Stopped","Manual"
"vwififlt","Virtual WiFi Filter Driver","Running","System"
"WacomPen","Wacom Serial Pen HID Driver","Stopped","Manual"
"wanarp","Remote Access IP ARP Driver","Running","Auto"
"wanarpv6","Remote Access IPv6 ARP Driver","Stopped","Manual"
"wcifs","Windows Container Isolation","Running","Auto"
"WdBoot","Microsoft Defender Antivirus Boot Driver","Stopped","Boot"
"Wdf01000","Kernel Mode Driver Frameworks service","Running","Boot"
"WdFilter","Microsoft Defender Antivirus Mini-Filter Driver","Running","Boot"
"wdiwifi","WDI Driver Framework","Stopped","Manual"
"WdmCompanionFilter","WdmCompanionFilter","Stopped","Manual"
"WdNisDrv","Microsoft Defender Antivirus Network Inspection System Driver","Running","Manual"
"WFPLWFS","Microsoft Windows Filtering Platform","Running","Boot"
"Wificx","Wifi Network Adapter Class Extension","Running","Manual"
"WiManHio","WiMan Service","Running","Manual"
"WIMMount","WIMMount","Stopped","Manual"
"WinAccelCx0101","Microsoft Accelerator Class Extension Driver","Stopped","Manual"
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Running","Boot"
"WindowsTrustedRTProxy","Microsoft Windows Trusted Runtime Secure Service","Running","Boot"
"wini3ctarget","Generic driver for I3C Target Devices","Stopped","Manual"
"WinMad","WinMad Service","Stopped","Manual"
"WinNat","Windows NAT Driver","Stopped","Manual"
"WINUSB","WinUsb Driver","Stopped","Manual"
"WinVerbs","WinVerbs Service","Stopped","Manual"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Running","Manual"
"Wof","Windows Overlay File System Filter Driver","Running","Boot"
"WpdUpFltr","WPD Upper Class Filter Driver","Stopped","Manual"
"ws2ifsl","Winsock IFS Driver","Stopped","Disabled"
"wtd","wtd","Running","Auto"
"WudfPf","User Mode Driver Frameworks Platform Driver","Running","Manual"
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Running","Manual"
"WUDFWpdFs","WPD File System driver","Running","Manual"
"xboxgip","Xbox Game Input Protocol Driver","Stopped","Manual"
"xinputhid","XINPUT HID Filter Driver","Stopped","Manual"
"XuCsMe","Cirrus Logic SDCA XU Audio Device Driver","Running","Manual"
